DateDebut;DateFin;Titre;Categorie
15/03/2020;22/06/2020;1er Confinement;Confinement
30/10/2020;15/12/2020;2eme Confinement;Confinement
03/04/2021;03/07/2021;3eme Confinement;Confinement
24/10/2021;31/10/2021;Vacances Toussaint 2021;Vacances
19/12/2021;02/01/2021;Vacances Noel 2021;Vacances
20/02/2021;27/02/2021;Vacances Hiver 2021;Vacances
17/04/2021;24/04/2021;Vacances Printemps 2021;Vacances
26/05/2021;29/05/2021;Pont de l'Ascension;Vacances
27/09/2021;23/11/2021;Filtre Lumière Bleue;Application
